,,,בסיס/תוספות,,,,בסיס/תוספות,,,בסיס/תוספות
,חלב 3%,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_474076.PNG,0,,גלידות,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_6681843.PNG,1,,,
,חלב 1%,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_474090.PNG,0,,ארטיקים :,,,,,
,חלב הרים נטול לקטוז,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_522166.PNG,0,,שוקו שוקו,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_3023165.PNG,1,,,
,חלב סויה,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_4130794.PNG,0,,שוקו וניל,,,,,
,ארגז קולה,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_284316.PNG,0,,שוקו בננה,,,,,1
,ארגז דיאט קולה,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_284361.PNG,0,,שלוקים,,,,,1
,ארגז זירו,,,,,,,,,1
,דיאט ספרייט,,,,,,,,,1
,,,,,,,,,,
,מארז יוגורט לבן 3%,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_7290014758100.PNG,0,,,,,,,
,מארז יוגורט פרי 3%,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_7290102395262.PNG,,,,,,,,1
,מארז יוגורט דיאט,,,,,,,,,
,יוגורט לבן 1.7 % ,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_7290102395224.PNG,0,,,,,,,
,טחינה,,,,,,,,,1
,חומוס,,,,,,,,,
,"גבנ""צ",,,,,,,,,
,,,,,,,,,,0
,חמאה,,,,,,,,,0
,פריכיות אורז,,,,,,,,,0
,פריכיות כוסמת ,,,,,,,,,0
,פתית,,,,,,,,,0
,קרקרים,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_75204.PNG,0,,,,,,,
,לחם ,,,,,,,,,
,גבינת ריקוטה,,,,,,,,,
,קוטג',http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_4127329.PNG,0,,,,,,,
,גבינה לבנה,,,,,,,,,
,קטשופ ,,,,,,,,,
,,,,,,,,,,
,שמן זית ,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_7290010429554.PNG,0,,,,,,,
,ריבות,,,,,,,,,
,דבש,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_7296073078579.PNG,0,,,,,,,
,תה ירוק,,,,,,,,,
,תה רגיל,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_5410033851459.PNG,0,,,,,,,
,ארל גריי,,,,,,,,,
,תה קמומיל,,,,,,,,,
,תה נענע,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_347738.PNG,0,,,,,,,
,קפה טסטרס צ'ויס,http://www.shufersal.co.il/_layouts/images/Shufersal/Images/Products_Large/z_72753.PNG,0,,,,,,,
